hgnc_id	hugo	chrom	accession	entrez	ensembl	refseq	uniprot
5	A1BG	19q13.43		1	ENSG00000121410	NM_130786	P04217
37133	A1BG-AS1	19q13.43	BC040926	503538	ENSG00000268895	NR_015380	
24086	A1CF	10q11.23	AF271790	29974	ENSG00000148584	NM_014576	Q9NQ94
7	A2M	12p13.31	BX647329, X68728, M11313	2	ENSG00000175899	NM_000014	P01023
27057	A2M-AS1	12p13.31		144571	ENSG00000245105	NR_026971	
23336	A2ML1	12p13.31	AK057908	144568	ENSG00000166535	NM_144670	A8K2U0
41022	A2ML1-AS1	12p13.31			ENSG00000256661		
41523	A2ML1-AS2	12p13.31			ENSG00000256904		
8	A2MP1	12p13.31	M24415	3	ENSG00000256069	NG_001067	
30005	A3GALT2	1p35.1		127550	ENSG00000184389	NM_001080438	U3KPV4
18149	A4GALT	22q13.2		53947	ENSG00000128274	NM_017436	Q9NPC4
17968	A4GNT	3q22.3	AF141315	51146	ENSG00000118017	NM_016161	Q9UNA3
13666	AAAS	12q13.13	AJ289841	8086	ENSG00000094914		Q9NRG9
21298	AACS	12q24.31	AK022451	65985	ENSG00000081760	NM_023928	Q86V21
18226	AACSP1	5q35.3		729522	ENSG00000250420	NR_024035	
17	AADAC	3q25.1	L32179	13	ENSG00000114771	NM_001086	P22760
24427	AADACL2	3q25.1	BC065724	344752	ENSG00000197953	NM_207365	Q6P093
50301	AADACL2-AS1	3q25.1		101928142	ENSG00000242908		
32037	AADACL3	1p36.21		126767	ENSG00000188984	NM_001103170	Q5VUY0
32038	AADACL4	1p36.21		343066	ENSG00000204518	NM_001013630	Q5VUY2
50305	AADACP1	3q25.1		201651	ENSG00000240602		
17929	AADAT	4q33	AF097994	51166	ENSG00000109576	NM_016228	Q8N5Z0
16881	AAED1	9q22.33	BK000255	195827	ENSG00000158122	NM_153698	Q7RTV5
25662	AAGAB	15q23	AL136715	79719	ENSG00000103591	NM_024666	Q6PD74
19679	AAK1	2p13.3	AB028971	22848	ENSG00000115977	NM_014911	Q2M2I8
30205	AAMDC	11q14.1	BC016854	28971	ENSG00000087884	NM_024684	Q9H7C9
18	AAMP	2q35	AB209790	14	ENSG00000127837	NM_001087	Q13685
19	AANAT	17q25.1	U40347	15	ENSG00000129673	NM_001088	Q16613
15886	AAR2	20q11.23		25980	ENSG00000131043	NM_015511	Q9Y312
33842	AARD	8q24.11	AB181519, BC140924	441376	ENSG00000205002	NM_001025357	Q4LEZ3
20	AARS	16q22.1	D32050	16	ENSG00000090861	NM_001605	P49588
21022	AARS2	6p21.1	AB033096	57505	ENSG00000124608	NM_020745	Q5JTZ9
28417	AARSD1	17q21.31	BC004172	80755	ENSG00000266967	NM_001261434	Q9BTE6
49894	AARSP1	4q28.3			ENSG00000249038		
23993	AASDH	4q12	AF516672	132949	ENSG00000157426	NM_181806	Q4L235
14235	AASDHPPT	11q22.3	AF302110	60496	ENSG00000149313	NM_015423	Q9NRN7
17366	AASS	7q31.32	AF229180	10157	ENSG00000008311	NM_005763	Q9UDR5
51526	AATBC	21q22.3		284837	ENSG00000215458	NR_026961	
19235	AATF	17q12	AF083208	26574	ENSG00000275700	NM_012138	Q9NY61
21	AATK	17q25.3	AB014541	9625	ENSG00000181409	NM_004920	Q6ZMQ8
22	AAVS1	19q13	S51329	17			
49667	ABALON	20q11.21	KC505631	103021294	ENSG00000281376	NR_131907	
23	ABAT	16p13.2	L32961	18	ENSG00000183044	NM_020686	P80404
29	ABCA1	9q31.1	AJ012376	19	ENSG00000165029	NM_005502	O95477
32	ABCA2	9q34.3	U18235	20	ENSG00000107331	NM_001606	Q9BZC7
33	ABCA3	16p13.3	U78735	21	ENSG00000167972	NM_001089	Q99758
34	ABCA4	1p22.1	U88667	24	ENSG00000198691	NM_000350	P78363
35	ABCA5	17q24.3	U66672	23461	ENSG00000154265	NM_018672	Q8WWZ7
36	ABCA6	17q24.2-q24.3	U66680	23460	ENSG00000154262	NM_080284	Q8N139
37	ABCA7	19p13.3	AF328787	10347	ENSG00000064687	NM_019112	Q8IZY2
38	ABCA8	17q24.2	AB020629	10351	ENSG00000141338	NM_007168	O94911
39	ABCA9	17q24.2	AF423307	10350	ENSG00000154258	NM_172386	Q8IUA7
39983	ABCA9-AS1	17q24.2			ENSG00000231749		
30	ABCA10	17q24.3	AY247065	10349	ENSG00000154263	NM_080282	Q8WWZ4
31	ABCA11P	4p16.3	AK024359	79963	ENSG00000251595	NR_002451.2	Q4W5N1
14637	ABCA12	2q35	AF418105	26154	ENSG00000144452	NM_173076	Q86UK0
14638	ABCA13	7p12.3	AY204751	154664	ENSG00000179869	NM_152701	Q86UQ4
32972	ABCA17P	16p13.3	DQ266102	650655	ENSG00000238098	NR_003574	
40	ABCB1	7q21.12	M14758	5243	ENSG00000085563	NM_000927	P08183
45	ABCB4	7q21.12	M23234	5244	ENSG00000005471	NM_000443	P21439
46	ABCB5	7p21.1	U66692	340273	ENSG00000004846	NM_178559	Q2M3G0
47	ABCB6	2q35	AF070598	10058	ENSG00000115657	NM_005689	Q9NP58
48	ABCB7	Xq13.3	AF038950	22	ENSG00000131269	NM_004299	O75027
49	ABCB8	7q36.1	AF047690	11194	ENSG00000197150	NM_007188	Q9NUT2
50	ABCB9	12q24.31	U66676	23457	ENSG00000150967	NM_019624	Q9NP78
41	ABCB10	1q42.13	U18237	23456	ENSG00000135776	NM_012089	Q9NRK6
14114	ABCB10P1	15q11.2	AF218417	56476	ENSG00000274099		
31129	ABCB10P3	15q13.1		728248	ENSG00000261524		
31130	ABCB10P4	15q13.1		100132289	ENSG00000260053		
42	ABCB11	2q31.1	AF091582	8647	ENSG00000073734	NM_003742	O95342
51	ABCC1	16p13.11	L05628	4363	ENSG00000103222	NM_004996	P33527
53	ABCC2	10q24.2	U63970	1244	ENSG00000023839	NM_000392	Q92887
54	ABCC3	17q21.33	Y17151	8714	ENSG00000108846	NM_020038	O15438
55	ABCC4	13q32.1	U66682	10257	ENSG00000125257	NM_005845	O15439
56	ABCC5	3q27.1	AF104942	10057	ENSG00000114770	NM_005688	O15440
40055	ABCC5-AS1	3q27.1			ENSG00000223882		
57	ABCC6	16p13.11	AF076622	368	ENSG00000091262		O95255
33352	ABCC6P1	16p12.3	BC075833	653190	ENSG00000256340	NR_003569	
33353	ABCC6P2	16p13.11		730013	ENSG00000255277	NR_023387	
59	ABCC8	11p15.1	L78207	6833	ENSG00000006071	NM_000352	Q09428
60	ABCC9	12p12.1	AF061323	10060	ENSG00000069431	NM_005691	O60706
52	ABCC10	6p21.1	U66684	89845	ENSG00000124574	NM_033450	Q5T3U5
14639	ABCC11	16q12.1	AF367202	85320	ENSG00000121270	NM_032583	Q96J66
14640	ABCC12	16q12.1	AY040220	94160	ENSG00000140798	NM_033226	Q96J65
16022	ABCC13	21q11.2	AF418600	150000	ENSG00000243064		Q9NSE7
61	ABCD1	Xq28	Z21876	215	ENSG00000101986	NM_000033	P33897
62	ABCD1P1	2p11.2	U90290	23785			
63	ABCD1P2	10p11.1	U90288	26983	ENSG00000215151		
64	ABCD1P3	16p11.2	U90289	26982	ENSG00000261233		
65	ABCD1P4	22q11.1	U90291	26957	ENSG00000225293		
42662	ABCD1P5	2p11.1		642762	ENSG00000214330		
66	ABCD2	12q12	U28150	225	ENSG00000173208	NM_005164	Q9UBJ2
67	ABCD3	1p21.3	M81182	5825	ENSG00000117528	NM_002858	P28288
68	ABCD4	14q24.3	AF009746	5826	ENSG00000119688	NM_005050	O14678
69	ABCE1	4q31.21	X74987	6059	ENSG00000164163	NM_002940	P61221
70	ABCF1	6p21.33	AF027302	23	ENSG00000204574		Q8NE71
53628	ABCF1-DT	6p21.33		107986587			
71	ABCF2	7q36.1	AJ005016	10061	ENSG00000033050	NM_005692	Q9UG63
48841	ABCF2P1	3p11.1		344653	ENSG00000242159		
48842	ABCF2P2	7q11.22		100422059	ENSG00000228769		
72	ABCF3	3q27.1	U66685	55324	ENSG00000161204	NM_018358	Q9NUQ8
73	ABCG1	21q22.3	U34919	9619	ENSG00000160179	NM_207174	P45844
74	ABCG2	4q22.1	AF103796	9429	ENSG00000118777	NM_004827	Q9UNQ0
13884	ABCG4	11q23.3	AJ300465	64137	ENSG00000172350	NM_022169	Q9H172
13886	ABCG5	2p21	T93792	64240	ENSG00000138075	NM_022436	Q9H222
13887	ABCG8	2p21	AF320294	64241	ENSG00000143921	NM_022437	Q9H221
17553	ABHD1	2p23.3	AK093447	84696	ENSG00000143994	NM_032604	Q96SE0
18717	ABHD2	15q26.1	X12433	11057	ENSG00000140526		P08910
18718	ABHD3	18q11.2	AK024880	171586	ENSG00000158201		Q8WU67
20154	ABHD4	14q11.2	AK022878	63874	ENSG00000100439		Q8TB40
21396	ABHD5	3p21.33	AF007132	51099	ENSG00000011198	NM_016006	Q8WTS1
21398	ABHD6	3p14.3	AF225418	57406	ENSG00000163686	NM_020676	Q9BV23
23759	ABHD8	19p13.11	AK021805	79575	ENSG00000127220	NM_024527	Q96I13
25656	ABHD10	3q13.2	AL713726	55347	ENSG00000144827	NM_018394	Q9NUJ1
16407	ABHD11	7q11.23	AF217971	83451	ENSG00000106077		Q8NFV4
18289	ABHD11-AS1	7q11.23	BU595969	171022	ENSG00000225969	NR_026690	
15868	ABHD12	20p11.21	AL117442	26090	ENSG00000100997	NM_015600	Q8N2K0
19837	ABHD12B	14q22.1	BG698443	145447	ENSG00000131969		Q7Z5M8
20293	ABHD13	13q33.3	AK027812	84945	ENSG00000139826	NM_032859	Q7L211
24538	ABHD14A	3p21.2	AY358201	25864	ENSG00000248487	NM_015407	Q9BUJ0
38856	ABHD14A-ACY1	3p21.2		100526760	ENSG00000114786		
28235	ABHD14B	3p21.2	AK075112	84836	ENSG00000114779	NM_032750	Q96IU4
26971	ABHD15	17q11.2	AK056717	116236	ENSG00000168792	NM_198147	Q6UXT9
49685	ABHD15-AS1	17q11.2	CN275323		ENSG00000264031		
13921	ABHD16A	6p21.33	AF129756	7920	ENSG00000204427		O95870
16128	ABHD16B	20q13.33		140701	ENSG00000183260		Q9H3Z7
28756	ABHD17A	19p13.3	BC020512	81926	ENSG00000129968	NM_031213	Q96GS6
